Modelo,TP,FP,FN,TN,Accuracy,Precision,Recall,Specificity,F1 Score,AUC ROC
LinearRegression,362,146,139,392,0.7256977863330125,0.7286245353159851,0.7382297551789078,0.7125984251968503,0.7333956969130029,0.7727693995877635
KNN,360,148,141,390,0.7218479307025987,0.724907063197026,0.7344632768361582,0.7086614173228346,0.7296538821328346,0.7743486513338375
LogisticRegression,366,142,141,390,0.7276227141482194,0.7330827067669173,0.7344632768361582,0.7204724409448819,0.7337723424270931,0.7881152038198616
DecisionTree,338,170,131,400,0.710298363811357,0.7017543859649122,0.7532956685499058,0.6653543307086615,0.7266121707538602,0.763527440425879
Bagging,388,120,276,255,0.6188642925890279,0.68,0.480225988700565,0.7637795275590551,0.5629139072847682,0.6550447083945016
RandomForest,393,115,263,268,0.6361886429258903,0.6997389033942559,0.504708097928437,0.7736220472440944,0.5864332603938731,0.6944277622076903
SVM Lineal,360,148,137,394,0.7256977863330125,0.7269372693726938,0.7419962335216572,0.7086614173228346,0.7343895619757689,0.7789158770407937
SVM Radial,355,153,137,394,0.7208854667949952,0.720292504570384,0.7419962335216572,0.6988188976377953,0.7309833024118738,0.7828695671515636
NaiveBayes,367,141,158,373,0.7122232916265641,0.72568093385214,0.7024482109227872,0.7224409448818898,0.7138755980861243,0.7659760220650387
